,Word,Frequency,POS
0,the,203554,Determiner
1,a,57155,Determiner
2,this,14060,Determiner
3,all,11048,Determiner
4,an,8638,Determiner
5,no,7515,Determiner
6,that,6536,Determiner
7,any,4701,Determiner
8,these,4423,Determiner
9,some,4374,Determiner
10,every,3383,Determiner
11,those,2518,Determiner
12,another,1940,Determiner
13,both,1717,Determiner
14,each,1687,Determiner
15,either,295,Determiner
16,neither,293,Determiner
17,doth,48,Determiner
18,half,26,Determiner
19,naboth,13,Determiner
20,ashtaroth,8,Determiner
21,tooth,7,Determiner
22,jehoshaphat,7,Determiner
23,hat,6,Determiner
24,broth,6,Determiner
25,naioth,6,Determiner
26,euery,5,Determiner
27,nightfall,3,Determiner
28,emma,3,Determiner
29,smooth,3,Determiner
30,anne,3,Determiner
31,wall,2,Determiner
32,booth,2,Determiner
33,nogol,2,Determiner
34,loth,2,Determiner
35,elinor,2,Determiner
36,nebajoth,2,Determiner
37,befall,2,Determiner
38,nebaioth,2,Determiner
39,mikloth,2,Determiner
40,moth,2,Determiner
41,i,2,Determiner
42,naturall,2,Determiner
43,equall,2,Determiner
44,mortall,2,Determiner
45,need,1,Determiner
46,needs,1,Determiner
47,everyone,1,Determiner
48,nero,1,Determiner
49,adams,1,Determiner
50,elizabeth,1,Determiner
51,thee,1,Determiner
52,groth,1,Determiner
53,yeah,1,Determiner
54,accacia,1,Determiner
55,nicolas,1,Determiner
56,nazis,1,Determiner
57,bartoli,1,Determiner
58,nick,1,Determiner
59,engisch,1,Determiner
60,cloth,1,Determiner
61,n,1,Determiner
62,nuf,1,Determiner
63,_not_,1,Determiner
64,ball,1,Determiner
65,envy,1,Determiner
66,aloud,1,Determiner
67,norland,1,Determiner
68,ashteroth,1,Determiner
69,hazeroth,1,Determiner
70,ataroth,1,Determiner
71,bethjeshimoth,1,Determiner
72,nether,1,Determiner
73,bethlebaoth,1,Determiner
74,aruboth,1,Determiner
75,aloth,1,Determiner
76,ahimoth,1,Determiner
77,anathoth,1,Determiner
78,alamoth,1,Determiner
79,wroth,1,Determiner
80,sackcloth,1,Determiner
81,nineveh,1,Determiner
82,josaphat,1,Determiner
83,obey,1,Determiner
84,elsa,1,Determiner
85,nearer,1,Determiner
86,archer,1,Determiner
87,baby,1,Determiner
88,noder,1,Determiner
89,ether,1,Determiner
90,behemoth,1,Determiner
91,bed,1,Determiner
92,beseech,1,Determiner
93,vnnaturall,1,Determiner
94,annuall,1,Determiner
95,buriall,1,Determiner
96,quoth,1,Determiner
97,eyther,1,Determiner
98,father,1,Determiner
99,niagara,1,Determiner
100,astronomy,1,Determiner
101,nirwana,1,Determiner
102,he,35466,Noun
103,it,31128,Noun
104,his,28398,Noun
105,you,19684,Noun
106,i,18946,Noun
107,they,16724,Noun
108,him,15631,Noun
109,her,14577,Noun
110,them,12034,Noun
111,she,11963,Noun
112,my,11829,Noun
113,me,10658,Noun
114,their,10476,Noun
115,lord,8597,Noun
116,we,7786,Noun
117,"""",7786,Noun
118,man,6905,Noun
119,your,6044,Noun
120,day,5682,Noun
121,god,5168,Noun
122,time,5066,Noun
123,thing,4652,Noun
124,hand,4147,Noun
125,son,4135,Noun
126,our,3966,Noun
127,house,3832,Noun
128,thee,3813,Noun
129,",""",3785,Noun
130,people,3702,Noun
131,us,3514,Noun
132,men,3505,Noun
133,child,3385,Noun
134,thou,3354,Noun
135,mr,3312,Noun
136,year,3287,Noun
137,way,3263,Noun
138,king,3224,Noun
139,its,3149,Noun
140,s,3076,Noun
141,".""",2982,Noun
142,word,2908,Noun
143,father,2881,Noun
144,place,2482,Noun
145,land,2446,Noun
146,eye,2443,Noun
147,life,2318,Noun
148,himself,2305,Noun
149,israel,2257,Noun
150,head,2197,Noun
151,world,2142,Noun
152,ye,2091,Noun
153,city,2089,Noun
154,name,1994,Noun
155,d,1910,Noun
156,heart,1903,Noun
157,nothing,1882,Noun
158,woman,1818,Noun
159,state,1816,Noun
160,night,1805,Noun
161,earth,1802,Noun
162,side,1768,Noun
163,water,1746,Noun
164,work,1742,Noun
165,voice,1638,Noun
166,part,1632,Noun
167,face,1570,Noun
168,sea,1558,Noun
169,brother,1552,Noun
170,mother,1503,Noun
171,friend,1492,Noun
172,hath,1464,Noun
173,something,1392,Noun
174,t,1368,Noun
175,end,1323,Noun
176,"?""",1302,Noun
177,whale,1295,Noun
178,death,1286,Noun
179,spirit,1274,Noun
180,door,1273,Noun
181,shalt,1270,Noun
182,home,1246,Noun
183,room,1246,Noun
184,foot,1215,Noun
185,law,1207,Noun
186,body,1187,Noun
187,"!""",1174,Noun
188,wife,1165,Noun
189,moment,1147,Noun
190,power,1138,Noun
191,servant,1109,Noun
192,morning,1109,Noun
193,family,1099,Noun
194,fire,1094,Noun
195,soul,1085,Noun
196,mind,1071,Noun
197,boy,1061,Noun
198,heaven,1058,Noun
199,themselves,1048,Noun
200,ship,1036,Noun
201,jesus,1010,Noun
202,war,1009,Noun
203,hour,998,Noun
204,country,995,Noun
205,tree,990,Noun
206,priest,980,Noun
207,daughter,975,Noun
208,course,972,Noun
209,field,972,Noun
210,offering,972,Noun
211,hast,972,Noun
212,herself,946,Noun
213,number,940,Noun
214,one,931,Noun
215,matter,928,Noun
216,case,910,Noun
217,nation,903,Noun
218,line,902,Noun
219,myself,890,Noun
220,air,888,Noun
221,point,878,Noun
222,light,866,Noun
223,reason,861,Noun
224,person,859,Noun
225,kind,858,Noun
226,book,854,Noun
227,month,853,Noun
228,blood,852,Noun
229,o,846,Noun
230,others,841,Noun
231,sight,838,Noun
232,captain,837,Noun
233,thought,836,Noun
234,peace,824,Noun
235,love,823,Noun
236,school,810,Noun
237,manner,805,Noun
238,sort,805,Noun
239,lady,805,Noun
240,fact,799,Noun
241,arm,798,Noun
242,sister,797,Noun
243,moses,797,Noun
244,ground,794,Noun
245,art,788,Noun
246,business,786,Noun
247,mouth,781,Noun
248,judah,780,Noun
249,rest,776,Noun
250,street,774,Noun
251,john,769,Noun
252,order,766,Noun
253,af,761,Noun
254,none,759,Noun
255,round,755,Noun
256,sword,745,Noun
257,letter,743,Noun
258,look,742,Noun
259,company,738,Noun
260,david,737,Noun
261,girl,724,Noun
262,question,718,Noun
263,money,717,Noun
264,church,707,Noun
265,wall,700,Noun
266,behold,695,Noun
267,service,694,Noun
268,idea,691,Noun
269,jerusalem,688,Noun
270,itself,682,Noun
271,boat,682,Noun
272,gold,681,Noun
273,sun,679,Noun
274,week,677,Noun
275,anything,674,Noun
276,sir,670,Noun
277,fear,667,Noun
278,form,667,Noun
279,party,665,Noun
280,sin,664,Noun
281,minute,661,Noun
282,truth,650,Noun
283,forth,648,Noun
284,horse,645,Noun
285,table,645,Noun
286,thereof,643,Noun
287,enemy,639,Noun
288,river,634,Noun
289,thy,634,Noun
290,interest,631,Noun
291,right,626,Noun
292,gate,623,Noun
293,emma,616,Noun
294,host,615,Noun
295,sense,606,Noun
296,christ,606,Noun
297,town,600,Noun
298,stone,595,Noun
299,feeling,594,Noun
300,egypt,591,Noun
301,judgment,590,Noun
302,system,585,Noun
303,half,584,Noun
304,nature,583,Noun
305,problem,582,Noun
306,use,577,Noun
307,area,574,Noun
308,age,573,Noun
309,group,570,Noun
310,piece,561,Noun
311,hill,558,Noun
312,figure,557,Noun
313,garden,553,Noun
314,hope,553,Noun
315,mountain,550,Noun
316,court,549,Noun
317,glory,548,Noun
318,gentleman,548,Noun
319,window,546,Noun
320,wood,542,Noun
321,thousand,541,Noun
322,hair,539,Noun
323,evening,538,Noun
324,marianne,538,Noun
325,program,535,Noun
326,bed,528,Noun
327,government,527,Noun
328,member,524,Noun
329,strength,524,Noun
330,joy,523,Noun
331,master,522,Noun
332,prince,521,Noun
333,president,517,Noun
334,force,515,Noun
335,pleasure,514,Noun
336,song,513,Noun
337,husband,512,Noun
338,prophet,512,Noun
339,ear,509,Noun
340,mean,506,Noun
341,change,505,Noun
342,angel,500,Noun
343,wind,498,Noun
344,story,495,Noun
345,road,487,Noun
346,effect,483,Noun
347,car,480,Noun
348,value,479,Noun
349,board,478,Noun
350,sound,476,Noun
351,don,472,Noun
352,cause,471,Noun
353,faith,471,Noun
354,midst,470,Noun
355,elinor,468,Noun
356,knowledge,466,Noun
357,altar,463,Noun
358,action,462,Noun
359,mr.,461,Noun
360,beast,461,Noun
361,mine,460,Noun
362,turnbull,457,Noun
363,fruit,456,Noun
364,seed,453,Noun
365,kingdom,451,Noun
366,bread,449,Noun
367,living,447,Noun
368,purpose,446,Noun
369,step,445,Noun
370,subject,445,Noun
371,office,444,Noun
372,cloud,444,Noun
373,congregation,444,Noun
374,weston,444,Noun
375,chapter,440,Noun
376,doubt,435,Noun
377,everything,433,Noun
378,situation,433,Noun
379,sign,432,Noun
380,deal,431,Noun
381,society,430,Noun
382,attention,428,Noun
383,silver,428,Noun
384,trouble,424,Noun
385,history,422,Noun
386,view,422,Noun
387,flesh,422,Noun
388,plan,421,Noun
389,act,421,Noun
390,example,421,Noun
391,battle,420,Noun
392,opinion,415,Noun
393,syme,414,Noun
394,oil,413,Noun
395,result,412,Noun
396,jew,407,Noun
397,rate,406,Noun
398,image,405,Noun
399,paper,402,Noun
400,return,401,Noun
401,mile,399,Noun
402,length,399,Noun
403,tribe,399,Noun
404,pray,398,Noun
405,anne,397,Noun
406,character,397,Noun
407,answer,395,Noun
408,stranger,394,Noun
409,development,393,Noun
410,wine,393,Noun
411,till,393,Noun
412,meat,390,Noun
413,account,389,Noun
414,job,389,Noun
415,silence,385,Noun
416,period,383,Noun
417,care,380,Noun
418,difference,380,Noun
419,m,379,Noun
420,",",378,Noun
421,top,377,Noun
422,ahab,377,Noun
423,cost,376,Noun
424,army,372,Noun
425,experience,370,Noun
426,chance,369,Noun
427,rock,369,Noun
428,lot,367,Noun
429,need,366,Noun
430,tabernacle,365,Noun
431,picture,364,Noun
432,star,364,Noun
433,charge,363,Noun
434,evil,362,Noun
435,space,361,Noun
436,corner,360,Noun
437,music,360,Noun
438,cry,360,Noun
439,elton,360,Noun
440,bird,356,Noun
441,turn,355,Noun
442,position,354,Noun
443,officer,354,Noun
444,sake,354,Noun
445,study,353,Noun
446,cannot,353,Noun
447,judge,352,Noun
448,student,351,Noun
449,dream,351,Noun
450,commandment,351,Noun
451,food,349,Noun
452,yourself,349,Noun
453,circumstance,348,Noun
454,tongue,348,Noun
455,pain,348,Noun
456,glass,347,Noun
457,iron,345,Noun
458,type,343,Noun
459,term,342,Noun
460,information,340,Noun
461,island,339,Noun
462,today,339,Noun
463,object,339,Noun
464,iniquity,337,Noun
465,summer,336,Noun
466,vessel,335,Noun
467,lip,335,Noun
468,condition,334,Noun
469,creature,334,Noun
470,generation,334,Noun
471,grace,333,Noun
472,,332,Noun
473,level,331,Noun
474,shoulder,330,Noun
475,ham,330,Noun
476,spring,329,Noun
477,seat,329,Noun
478,sky,329,Noun
479,wilderness,329,Noun
480,college,328,Noun
481,darkness,327,Noun
482,front,326,Noun
483,century,326,Noun
484,therefore,326,Noun
485,event,325,Noun
486,plant,325,Noun
487,back,324,Noun
488,jane,324,Noun
489,bone,324,Noun
490,jacob,324,Noun
491,building,323,Noun
492,leg,322,Noun
493,thine,322,Noun
494,class,320,Noun
495,companion,319,Noun
496,praise,315,Noun
497,method,315,Noun
498,mount,315,Noun
499,honour,315,Noun
500,saul,315,Noun
501,policy,314,Noun
502,effort,314,Noun
503,degree,314,Noun
504,temple,314,Noun
505,colonel,314,Noun
506,mercy,312,Noun
507,valley,312,Noun
508,philistine,312,Noun
509,material,311,Noun
510,york,310,Noun
511,mrs.,310,Noun
512,sacrifice,310,Noun
513,shape,310,Noun
514,smile,308,Noun
515,wisdom,307,Noun
516,respect,306,Noun
517,finger,306,Noun
518,covenant,306,Noun
519,multitude,306,Noun
520,righteousness,305,Noun
521,hell,303,Noun
522,anger,303,Noun
523,flower,302,Noun
524,alice,302,Noun
525,report,301,Noun
526,doctor,301,Noun
527,dog,301,Noun
528,meeting,300,Noun
529,miss,300,Noun
530,hat,300,Noun
531,heard,300,Noun
532,visit,299,Noun
533,fall,299,Noun
534,village,299,Noun
535,measure,298,Noun
536,scene,298,Noun
537,presence,298,Noun
538,surface,298,Noun
539,price,297,Noun
540,help,297,Noun
541,youth,297,Noun
542,neck,297,Noun
543,race,296,Noun
544,knightley,295,Noun
545,play,294,Noun
546,distance,293,Noun
547,brown,293,Noun
548,clothes,293,Noun
549,note,292,Noun
550,throne,292,Noun
551,nobody,291,Noun
552,fellow,290,Noun
553,hall,290,Noun
554,beauty,289,Noun
555,wave,287,Noun
556,season,287,Noun
557,levite,286,Noun
558,disciple,285,Noun
559,bow,284,Noun
560,fish,284,Noun
561,woodhouse,284,Noun
562,property,283,Noun
563,stage,283,Noun
