,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,164,1040,119,0
1,388,1040,119,0
2,560,1040,119,0
3,781,1040,119,0
4,964,1040,119,0
5,1161,1040,119,0
6,1403,1040,119,0
7,1613,1040,119,0
8,1857,1040,118,0
9,2047,1040,119,0
10,2250,1040,119,0
11,2438,1040,118,0
12,2615,1040,118,0
13,2777,1040,118,0
14,2938,1040,119,0
15,3102,1040,119,0
16,3265,1040,119,0
17,3425,1040,119,0
18,3594,1040,119,0
19,3808,1040,119,0
20,3982,1040,119,0
21,4178,1040,119,0
22,4358,1040,119,0
23,4518,1040,119,0
24,4677,1040,119,0
25,4837,1040,119,0
26,5024,1040,119,0
27,5190,1040,119,0
28,5354,1040,119,0
29,5517,1040,119,0
30,5681,1040,119,0
31,5868,1040,119,0
32,6047,1040,119,0
33,6215,1040,119,0
34,6377,1040,119,0
35,6550,1040,119,0
36,6717,1040,119,0
37,6886,1040,119,0
38,7055,1040,119,0
39,7224,1040,119,0
40,7392,1040,119,0
41,7565,1040,119,0
42,7740,1040,119,0
43,7917,1040,119,0
44,8146,1040,119,0
45,8317,1040,119,0
46,8489,1040,119,0
47,8649,1040,119,0
48,8807,1040,119,0
49,8966,1040,119,0
50,9125,1040,119,0
51,9284,1040,119,0
52,9442,1040,119,0
53,9601,1040,119,0
54,9764,1040,119,0
55,9926,1040,118,0
56,10106,1040,118,0
57,10288,1040,119,0
58,10454,1040,118,0
59,10618,1040,118,0
60,10781,1040,119,0
61,10946,1040,119,0
62,11108,1040,119,0
63,11268,1040,119,0
64,11429,1040,119,0
65,11591,1040,119,0
66,11961,1040,119,0
67,12131,1040,119,0
68,12339,1040,119,0
69,12522,1040,119,0
70,12701,1040,119,0
71,12865,1040,119,0
72,13029,1040,119,0
73,13193,1040,119,0
74,13360,1040,119,0
75,13529,1040,118,0
76,13704,1040,118,0
77,13875,1040,119,0
78,14046,1040,119,0
79,14216,1040,118,0
80,14426,1040,118,0
81,14597,1040,118,0
82,14766,1040,118,0
83,14938,1040,118,0
84,15107,1040,118,0
85,15274,1040,117,0
86,15448,1041,117,0
87,15619,1040,117,0
88,15791,1040,117,0
89,16011,915,89,0
90,16182,0,0,0
91,16358,0,2047,0
92,16607,0,1843,0
93,16773,0,270,0
94,16970,0,51,0
95,17143,0,15,0
96,17315,0,5,0
97,17484,0,0,0
98,17658,0,0,0
99,17826,0,0,0
100,18011,0,0,0
101,18184,0,0,0
102,18373,0,0,0
103,18557,0,0,0
104,18777,0,0,0
105,18949,0,0,0
106,19118,0,0,0
107,19289,0,0,0
108,19460,0,0,0
109,19630,0,0,0
110,19804,0,0,0
111,19975,0,0,0
112,20146,0,0,0
113,20317,0,0,0
114,20500,0,0,0
115,20678,0,0,0
116,20885,0,0,0
117,21041,0,0,0
118,21200,0,0,0
119,21359,0,0,0
120,21517,0,0,0
121,21680,0,0,0
122,21839,0,0,0
123,21999,0,0,0
124,22160,0,0,0
125,22320,0,0,0
126,22481,0,0,0
127,22648,0,0,0
128,22809,0,0,0
129,23003,0,0,0
130,23163,0,0,0
131,23337,0,0,0
132,23497,0,0,0
133,23657,0,0,0
134,23816,0,0,0
135,23999,0,0,0
136,24170,0,0,0
137,24332,0,0,0
138,24497,0,0,0
139,24662,0,0,0
140,24822,0,0,0
141,25006,0,0,0
142,25269,0,0,0
143,25438,0,0,0
144,25602,0,0,0
145,25766,0,0,0
146,25926,0,0,0
147,26087,0,0,0
148,26253,0,0,0
149,26414,0,0,0
150,26574,0,0,0
151,26734,0,0,0
152,26898,0,0,0
153,27071,0,0,0
154,27290,0,0,0
155,27471,0,0,0
156,27651,0,0,0
157,27820,0,0,0
158,27983,0,0,0
159,28149,0,0,0
160,28306,0,0,0
161,28467,0,0,0
162,28631,0,0,0
163,28800,0,0,0
