,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,159,0,0,0
1,369,0,0,0
2,558,0,0,0
3,765,0,0,0
4,954,0,0,0
5,1269,0,0,0
6,1500,0,0,0
7,1693,0,0,0
8,1957,0,0,0
9,2137,0,0,0
10,2309,0,0,0
11,2483,0,0,0
12,2646,0,0,0
13,2813,0,0,0
14,2971,0,0,0
15,3169,25,0,0
16,3340,41,0,0
17,3508,41,0,0
18,3676,41,0,0
19,3849,41,0,0
20,4025,990,-232,0
21,4208,990,-232,0
22,4391,990,-231,0
23,4575,991,-232,0
24,4807,990,-231,0
25,4983,990,-231,0
26,5160,990,-231,0
27,5352,990,-230,0
28,5528,991,-232,0
29,5701,990,-231,0
30,5873,990,-231,0
31,6064,991,-230,0
32,6276,990,-230,0
33,6478,990,-231,0
34,6695,990,-231,0
35,6882,990,-231,0
36,7059,990,-232,0
37,7235,991,-232,0
38,7477,990,-231,0
39,7658,990,-230,0
40,7836,990,-232,0
41,8021,991,-231,0
42,8204,991,-230,0
43,8383,990,-230,0
44,8554,990,-230,0
45,8725,990,-231,0
46,8899,990,-232,0
47,9069,991,-231,0
48,9235,991,-231,0
49,9410,991,-231,0
50,9642,990,-232,0
51,9819,990,-232,0
52,9994,990,-232,0
53,10169,990,-232,0
54,10343,990,-231,0
55,10515,990,-232,0
56,10687,991,-232,0
57,10878,990,-231,0
58,11053,990,-230,0
59,11229,990,-231,0
60,11403,990,-231,0
61,11614,991,-231,0
62,11799,990,-232,0
63,11979,990,-232,0
64,12157,990,-232,0
65,12331,990,-232,0
66,12508,991,-233,0
67,12686,991,-233,0
68,12862,991,-232,0
69,13048,990,-231,0
70,13220,990,-233,0
71,13396,990,-234,0
72,13577,990,-234,0
73,13788,990,-233,0
74,13991,990,-231,0
75,14170,990,-232,0
76,14352,991,-233,0
77,14535,991,-232,0
78,14728,990,-232,0
79,14908,991,-234,0
80,15101,991,-232,0
81,15280,991,-231,0
82,15464,991,-232,0
83,15646,991,-232,0
84,15866,990,-233,0
85,16051,991,-233,0
86,16244,991,-233,0
87,16433,990,-234,0
88,16616,990,-233,0
89,16790,990,-234,0
90,16972,990,-233,0
91,17169,990,-232,0
92,17344,991,-232,0
93,17524,991,-232,0
94,17704,990,-232,0
95,17909,990,-231,0
96,18100,991,-231,0
97,18280,991,-232,0
98,18459,990,-232,0
99,18638,991,-232,0
100,18848,991,-231,0
101,19029,990,-237,0
102,19223,990,-236,0
103,19410,990,-233,0
104,19591,990,-232,0
105,19774,990,-232,0
106,19968,991,-231,0
107,20179,990,-232,0
108,20542,990,-232,0
109,20725,991,-232,0
110,20895,990,-232,0
111,21065,991,-232,0
112,21240,991,-232,0
113,21415,990,-232,0
114,21608,990,-232,0
115,21781,991,-233,0
116,22001,990,-233,0
117,22202,990,-234,0
118,22372,991,-234,0
119,22538,990,-234,0
120,22709,990,-234,0
121,22877,991,-234,0
122,23054,991,-234,0
123,23221,991,-233,0
124,23429,991,-233,0
125,23599,991,-233,0
126,23769,990,-233,0
127,23941,990,-232,0
128,24140,991,-234,0
129,24343,991,-233,0
130,24517,991,-234,0
131,24695,990,-234,0
132,24869,991,-232,0
133,25044,990,-233,0
134,25218,990,-233,0
135,25394,990,-233,0
136,25575,0,0,0
137,25747,0,493,0
138,25920,0,1521,0
139,26099,0,1371,0
140,26284,0,122,0
141,26485,0,19,0
142,26666,0,8,0
143,26842,0,2,0
144,27025,0,0,0
145,27203,0,0,0
146,27383,0,0,0
147,27592,0,0,0
148,27774,0,0,0
149,27950,0,0,0
150,28132,0,0,0
151,28316,0,0,0
152,28528,0,0,0
153,28709,0,0,0
154,28899,0,0,0
155,29082,0,0,0
156,29264,0,0,0
157,29441,0,0,0
158,29626,0,0,0
159,29812,0,0,0
160,29997,0,0,0
161,30178,0,0,0
162,30358,0,0,0
163,30568,0,0,0
164,30758,0,0,0
165,30950,0,0,0
166,31132,0,0,0
167,31314,0,0,0
168,31525,0,0,0
169,31706,0,0,0
170,31894,0,0,0
171,32075,0,0,0
172,32257,0,0,0
173,32443,0,0,0
174,32644,0,0,0
175,32831,0,0,0
176,33014,0,0,0
177,33196,0,0,0
178,33377,0,0,0
179,33575,0,0,0
180,33804,0,0,0
181,34030,0,0,0
