,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,150,0,1,0
1,400,0,1,0
2,560,0,1,0
3,725,0,1,0
4,923,0,1,0
5,1093,0,1,0
6,1336,0,1,0
7,1586,0,1,0
8,1848,0,1,0
9,2093,0,1,0
10,2290,0,1,0
11,2509,0,1,0
12,2716,0,1,0
13,2991,0,1,0
14,3197,0,1,0
15,3386,0,1,0
16,3599,0,1,0
17,3802,0,1,0
18,3983,0,1,0
19,4179,0,1,0
20,4359,0,1,0
21,4524,0,1,0
22,4695,0,1,0
23,4876,0,1,0
24,5057,0,1,0
25,5416,0,1,0
26,5587,0,1,0
27,5762,0,1,0
28,5953,0,1,0
29,6119,0,1,0
30,6288,0,1,0
31,6461,0,1,0
32,6634,0,1,0
33,6802,0,1,0
34,7156,0,1,0
35,7328,0,1,0
36,7501,0,1,0
37,7679,0,1,0
38,7859,0,1,0
39,8097,0,1,0
40,8274,0,1,0
41,8449,0,1,0
42,8620,0,1,0
43,8785,0,1,0
44,8953,0,1,0
45,9118,0,1,0
46,9282,0,1,0
47,9450,0,1,0
48,9614,0,1,0
49,9792,0,1,0
50,9959,0,1,0
51,10141,0,1,0
52,10310,0,1,0
53,10476,0,1,0
54,10645,0,1,0
55,10816,0,1,0
56,10984,0,1,0
57,11154,0,1,0
58,11322,0,1,0
59,11486,0,1,0
60,11661,0,1,0
61,11838,0,1,0
62,12016,0,1,0
63,12201,0,1,0
64,12404,0,1,0
65,12579,0,1,0
66,12749,0,1,0
67,12928,0,1,0
68,13099,17,1,0
69,13282,41,1,0
70,13450,41,1,0
71,13626,41,1,0
72,13801,18,-12,0
73,13983,0,1,0
74,14158,0,1,0
75,14349,0,1,0
76,14526,0,1,0
77,14705,0,1,0
78,14888,0,1,0
79,15064,0,1,0
80,15239,0,1,0
81,15420,0,1,0
82,15597,0,1,0
83,15782,0,1,0
84,15966,0,1,0
85,16150,0,1,0
86,16336,0,1,0
87,16519,0,1,0
88,16729,0,1,0
89,16909,0,1,0
90,17097,0,1,0
91,17279,0,1,0
92,17466,0,1,0
93,17648,0,1,0
94,17835,0,1,0
95,18015,0,1,0
96,18195,0,1,0
97,18381,0,1,0
98,18569,0,1,0
99,18746,0,1,0
100,18926,0,1,0
101,19108,0,1,0
102,19296,0,1,0
103,19482,0,1,0
104,19670,0,1,0
105,19860,0,1,0
106,20041,0,1,0
107,20231,0,1,0
108,20418,0,1,0
109,20617,0,1,0
110,20790,0,1,0
111,20958,0,1,0
112,21160,50,1,0
113,21334,57,1,0
114,21510,56,1,0
115,21692,57,1,0
116,21871,57,1,0
117,22051,57,1,0
118,22231,57,1,0
119,22410,57,1,0
120,22590,57,1,0
121,22778,57,1,0
122,22956,57,1,0
123,23130,57,1,0
124,23305,57,1,0
125,23482,57,1,0
126,23663,57,1,0
127,23839,57,1,0
128,24021,57,1,0
129,24206,57,1,0
130,24390,57,1,0
131,24566,56,1,0
132,24765,57,1,0
133,24950,57,1,0
134,25135,57,1,0
135,25319,57,1,0
136,25523,57,1,0
137,25727,57,1,0
138,25913,57,1,0
139,26096,57,1,0
140,26283,57,1,0
141,26466,57,1,0
142,26855,56,1,0
143,27037,57,1,0
144,27223,57,1,0
145,27408,57,1,0
146,27588,57,1,0
147,27770,57,1,0
148,27952,57,1,0
