,Time (ms),Voltage (mV),Voltage (mA),Force (mGrams)
0,1821,0,1,0
1,2033,0,1,0
2,2233,0,1,0
3,2406,0,1,-1
4,2616,0,1,-1
5,2897,0,1,0
6,3110,0,1,0
7,3327,0,1,0
8,3533,0,1,0
9,3752,0,1,-1
10,3975,0,1,0
11,4166,0,1,0
12,4355,0,1,0
13,4543,0,1,1
14,4780,0,1,0
15,4974,0,1,0
16,5173,0,1,1
17,5376,0,1,1
18,5580,0,1,0
19,5781,0,1,0
20,5984,0,1,1
21,6176,0,1,0
22,6371,0,1,-1
23,6564,0,1,-1
24,6757,0,1,0
25,6957,0,1,0
26,7155,0,1,0
27,7350,0,1,0
28,7560,0,1,0
29,7760,0,1,0
30,7963,0,1,0
31,8159,0,1,0
32,8397,0,1,1
33,8595,0,1,1
34,8797,0,1,0
35,8999,0,1,1
36,9199,0,1,1
37,9398,0,1,1
38,9615,0,1,0
39,9820,0,1,1
40,10033,0,1,1
41,10227,0,1,1
42,10417,0,1,0
43,10608,0,1,1
44,10799,0,1,2
45,10994,0,1,1
46,11177,0,1,1
47,11354,0,1,2
48,11534,0,1,2
49,11731,0,1,2
50,11965,0,1,3
51,12156,0,1,3
52,12346,0,1,2
53,12544,0,1,1
54,12738,0,1,2
55,12927,0,1,3
56,13120,0,1,4
57,13556,0,1,3
58,13749,0,1,3
59,13939,0,1,3
60,14119,0,1,3
61,14296,0,1,3
62,14475,0,1,3
63,14660,0,1,3
64,14841,0,1,2
65,15029,0,1,2
66,15207,0,1,3
67,15389,0,1,3
68,15570,0,1,3
69,15755,0,1,3
70,15956,0,1,4
71,16133,0,1,3
72,16378,0,1,4
73,16557,0,1,4
74,16740,0,1,4
75,16924,0,1,4
76,17111,0,1,4
77,17305,0,1,3
78,17497,0,1,4
79,17685,0,1,5
80,17874,0,1,4
81,18072,0,1,4
82,18262,0,1,5
83,18445,0,1,4
84,18631,0,1,4
85,18815,0,1,4
86,19005,0,1,4
87,19190,0,1,4
88,19379,0,1,5
89,19566,0,1,5
90,19753,0,1,5
91,19944,0,1,5
92,20144,0,1,4
93,20335,0,1,5
94,20541,0,1,5
95,20767,0,1,5
96,20964,0,1,5
97,21152,0,1,6
98,21348,0,1,6
99,21537,0,1,5
100,21734,0,1,5
101,21927,0,1,5
102,22129,0,1,6
103,22324,0,1,6
104,22502,0,1,6
105,22680,0,1,5
106,22860,0,1,5
107,23041,0,1,5
108,23222,0,1,5
109,23403,0,1,4
110,23585,0,1,4
111,23769,0,1,5
112,23946,0,1,5
113,24149,0,1,5
114,24345,0,1,5
115,24540,0,1,5
116,24716,0,1,4
117,24969,0,1,4
118,25162,0,1,5
119,25345,0,1,6
120,25529,0,1,5
121,25714,0,1,5
122,25895,0,1,5
123,26071,0,1,5
124,26261,0,1,5
125,26450,0,1,5
126,26634,0,1,5
127,26818,0,1,5
128,26999,0,1,5
129,27182,0,1,5
130,27362,0,1,5
131,27551,0,1,5
132,27728,0,1,6
133,27907,0,1,5
134,28090,0,1,3
135,28282,0,1,2
136,28480,0,1,2
137,28662,0,1,3
138,28850,0,1,4
139,29081,0,1,3
140,29268,0,1,3
141,29457,0,1,3
142,29637,0,1,3
143,29823,0,1,4
144,30008,0,1,3
145,30195,0,1,3
146,30380,0,1,4
147,30581,0,1,3
148,30767,0,1,3
149,30950,0,1,4
150,31136,0,1,3
151,31323,0,1,1
152,31510,0,1,1
153,31699,0,1,0
154,31887,0,1,0
155,32072,0,1,1
156,32260,0,1,0
157,32444,0,1,0
158,32645,0,1,1
159,32835,0,1,1
160,33069,0,1,1
161,33269,0,1,3
162,33488,0,1,5
163,33691,0,1,6
164,33879,0,1,8
165,34058,0,1,9
166,34240,0,1,10
167,34422,0,1,12
168,34614,0,1,14
169,34811,0,1,15
170,35004,0,1,16
171,35194,0,1,17
172,35386,0,1,18
173,35582,0,1,19
174,35781,0,1,19
175,35982,0,1,21
176,36161,0,1,22
177,36330,0,1,23
178,36506,0,1,24
179,36688,0,1,24
180,36877,0,1,23
181,37097,0,1,24
182,37281,0,1,25
183,37463,0,1,26
184,37644,0,1,26
185,37827,0,1,26
186,38014,0,1,26
187,38198,0,1,26
188,38381,0,1,26
189,38564,0,1,26
