,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,197,0,1,1
1,432,0,1,1
2,614,0,1,1
3,798,0,1,1
4,973,0,1,1
5,1160,0,1,1
6,1336,0,1,1
7,1524,0,1,1
8,1705,0,1,1
9,2116,0,1,1
10,2301,0,1,1
11,2473,0,1,1
12,2641,0,1,1
13,2811,0,1,1
14,2984,0,1,1
15,3194,0,1,1
16,3368,0,1,1
17,3540,0,1,1
18,3725,0,1,1
19,3901,0,1,1
20,4074,0,1,1
21,4252,0,1,1
22,4435,0,1,1
23,4604,0,1,1
24,4784,0,1,1
25,4966,0,1,1
26,5138,0,1,1
27,5317,0,1,0
28,5493,0,1,-1
29,5692,0,1,-1
30,5883,0,1,-2
31,6069,0,1,-3
32,6265,0,1,-4
33,6444,0,1,-5
34,6623,0,1,-6
35,6809,0,1,-6
36,6996,0,1,-6
37,7188,0,1,-6
38,7380,0,1,-7
39,7578,0,1,-7
40,7783,0,1,-7
41,7982,0,1,-7
42,8187,0,1,-7
43,8388,0,1,-7
44,8573,0,1,-7
45,8760,0,1,-7
46,8943,0,1,-7
47,9127,0,1,-7
48,9347,0,1,-7
49,9528,0,1,-7
50,9710,0,1,-7
51,9991,0,1,-7
52,10178,0,1,-7
53,10363,0,1,-7
54,10548,0,1,-8
55,10724,0,1,-9
56,10906,0,1,-10
57,11081,0,1,-10
58,11260,0,1,-11
59,11437,0,1,-12
60,11616,0,1,-12
61,11798,0,1,-12
62,11980,0,1,-12
63,12167,0,1,-12
64,12351,0,1,-13
65,12537,0,1,-13
66,12720,0,1,-13
67,12903,0,1,-13
68,13087,0,1,-13
69,13269,0,1,-13
70,13457,0,1,-13
71,13640,0,1,-13
72,13865,0,1,-13
73,14052,0,1,-13
74,14246,0,1,-13
75,14433,0,1,-13
76,14620,0,1,-13
77,14839,0,1,-13
78,15032,0,1,-13
79,15242,0,1,-13
80,15430,0,1,-13
81,15621,0,1,-13
82,15817,0,1,-13
83,16009,0,1,-13
84,16215,0,1,-13
85,16409,0,1,-13
86,16606,0,1,-13
87,16795,0,1,-13
88,16986,0,1,-13
89,17174,0,1,-13
90,17371,0,1,-13
91,17593,0,1,-13
92,17792,0,1,-13
93,17985,0,1,-13
94,18175,0,1,-13
95,18368,0,1,-13
96,18595,0,1,-13
97,18783,0,1,-13
98,18979,0,1,-13
99,19166,0,1,-13
100,19352,0,1,-13
101,19549,0,1,-13
102,19798,0,1,-13
103,20011,1,0,-13
104,20201,42,1,-13
105,20399,41,1,-13
106,20587,42,1,-13
107,20775,32,-15,-13
108,20949,0,1,-13
109,21123,0,1,-13
110,21305,0,1,-13
111,21478,0,1,-13
112,21652,0,1,-13
113,21824,0,1,-13
114,22020,0,1,-13
115,22193,0,1,-13
116,22365,0,1,-13
117,22549,0,1,-13
118,22730,0,1,-13
119,22901,0,1,-13
120,23116,0,1,-13
121,23293,0,1,-13
122,23462,0,1,-13
123,23631,0,1,-13
124,23802,0,1,-13
125,23972,0,1,-13
126,24147,0,1,-13
127,24322,0,1,-13
128,24499,0,1,-13
129,24675,0,1,-13
130,24851,0,1,-13
131,25032,0,1,-13
132,25210,0,1,-13
133,25378,0,1,-13
134,25553,0,1,-13
135,25729,0,1,-13
136,25907,0,1,-13
137,26082,0,1,-13
138,26257,0,1,-13
139,26433,0,1,-13
140,26605,0,1,-13
141,26788,0,1,-13
142,26962,0,1,-13
143,27137,0,1,-13
144,27344,0,1,-13
145,27516,0,1,-13
146,27690,0,1,-13
147,27865,0,1,-13
148,28040,0,1,-13
149,28225,0,1,-13
150,28397,0,1,-13
151,28576,0,1,-13
152,28969,0,1,-13
153,29143,0,1,-13
154,29324,0,1,-14
155,29499,0,1,-14
156,29675,0,1,-14
157,29867,0,1,-14
158,30048,0,633,-14
159,30231,0,850,-14
160,30410,0,851,-14
161,30584,0,850,-14
162,30763,0,850,-14
163,30947,0,850,-14
164,31127,0,851,-14
165,31303,0,850,-14
166,31474,0,851,-14
167,31698,0,830,-14
168,31871,0,831,-14
169,32044,0,826,-14
