,Time (ms),Voltage (mV),Voltage (mA),Force (mGrams)
0,2293,0,1,0
1,2509,0,1,0
2,2703,0,1,0
3,2877,0,1,1
4,3152,0,1,1
5,3392,0,1,0
6,3581,0,1,1
7,3782,0,1,2
8,3992,0,1,2
9,4210,0,1,2
10,4418,0,1,2
11,4618,0,1,2
12,4813,0,1,2
13,5056,0,1,2
14,5252,0,1,2
15,5454,0,1,2
16,5651,0,1,2
17,5842,0,1,1
18,6046,0,1,1
19,6252,0,1,2
20,6452,0,1,2
21,6639,0,1,2
22,6827,0,1,2
23,7022,0,1,3
24,7207,0,1,4
25,7418,0,1,4
26,7612,0,1,4
27,7808,0,1,5
28,7990,0,1,4
29,8182,0,1,4
30,8385,0,1,4
31,8573,0,1,5
32,8749,0,1,5
33,8987,0,1,5
34,9198,0,1,4
35,9420,0,1,4
36,9618,0,1,5
37,9798,0,1,5
38,9988,0,1,6
39,10181,0,1,6
40,10380,0,1,5
41,10576,0,1,5
42,10754,0,1,5
43,10937,0,1,4
44,11126,0,1,4
45,11308,0,1,5
46,11483,0,1,5
47,11672,0,1,5
48,11855,0,1,5
49,12035,0,1,5
50,12225,0,1,5
51,12411,0,1,5
52,12586,0,1,6
53,12759,0,1,6
54,12938,0,1,6
55,13118,0,1,5
56,13509,0,1,5
57,13760,0,1,5
58,13945,0,1,5
59,14128,0,1,5
60,14311,0,1,6
61,14493,0,1,7
62,14681,0,1,6
63,14866,0,1,7
64,15048,0,1,9
65,15233,0,1,7
66,15409,0,1,-10
67,15604,0,1,-24
68,15806,0,1,-24
69,15995,0,1,-24
70,16184,0,1,-25
71,16373,0,1,-25
72,16559,0,1,-24
73,16751,0,1,-25
74,16941,0,1,-25
75,17134,0,1,-24
76,17327,0,1,-24
77,17532,0,1,-23
78,17720,0,1,-23
79,17911,0,1,-25
80,18190,0,1,-24
81,18390,0,1,-23
82,18592,0,1,-22
83,18784,0,1,-23
84,18974,0,1,-23
85,19168,0,1,-22
86,19354,0,1,-22
87,19548,0,1,-22
88,19739,0,1,-21
89,19938,0,1,-21
90,20133,0,1,-22
91,20389,0,1,-22
92,20587,0,1,-21
93,20778,0,1,-21
94,20965,0,1,-22
95,21152,0,1,-22
96,21340,0,1,-22
97,21535,0,1,-21
98,21725,0,1,-21
99,21918,0,1,-21
100,22125,0,1,-21
101,22315,0,1,-21
102,22516,0,1,-21
103,22750,0,1,-22
104,22930,0,1,-21
105,23111,0,1,-21
106,23287,0,1,-20
107,23466,0,1,-20
108,23647,0,1,-21
109,23829,0,1,-21
110,24007,0,1,-21
111,24204,0,1,-20
112,24390,0,1,-20
113,24576,0,1,-19
114,24759,0,1,-18
115,24941,0,1,-19
