#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415B99FD9
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.008e+06 Ω
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.24066 V
#Offset: 0.000240203 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.25098 V
#Offset: 0.000230232 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
1000.000000000001,-47.87785670717077,1031.851191444064
1047.128548050901,-46.80956840078071,995.4341359510749
1096.478196143186,-45.97825190618188,968.5127247421746
1148.153621496884,-45.29763457619169,947.4215730387681
1202.264434617413,-44.64738329316405,927.9383595065054
1258.925411794169,-44.0264713678058,910.2291592414913
1318.256738556409,-43.39853068545445,893.2928852198478
1380.384264602885,-42.7514737140124,876.8504175656371
1445.43977074593,-42.13517753191209,861.6433093917285
1513.56124843621,-41.50472187903411,846.7886368004304
1584.893192461114,-40.8472062873733,832.3490012656305
1659.586907437563,-40.19635006667892,818.6082241492531
1737.800828749376,-39.55216902626233,805.6075845990058
1819.700858609984,-38.87474056667222,792.558097523959
1905.46071796325,-38.20041479366336,780.3575296352112
1995.262314968881,-37.50579259145214,768.3522615851276
2089.296130854041,-36.8133208591268,757.1137828747039
2187.761623949554,-36.1192509443268,746.0980335188027
2290.867652767774,-35.40958920600627,735.5146017603221
2398.832919019493,-34.69463996362903,725.1438793421138
2511.886431509582,-33.96475894909533,715.2427709801759
2630.267991895385,-33.24024146438444,705.8722143768721
2754.228703338169,-32.50601080588123,696.7964521793959
2884.031503126609,-31.76368585297114,687.83908760511
3019.951720402019,-31.02669772563923,679.564405380096
3162.277660168382,-30.30552993810205,671.5202348564636
3311.311214825914,-29.57003422190089,663.9544172432817
3467.368504525317,-28.85609860597542,656.600948442122
3630.780547701017,-28.12200407281891,649.5228502742506
3801.893963205617,-27.40980803360532,642.7862426191425
3981.071705534973,-26.68196647475834,636.2666341148231
4168.693834703359,-25.96014975032245,630.3295179585704
4365.158322401665,-25.26330673005487,624.4548877210157
4570.881896148752,-24.55106002585137,618.8046539583864
4786.300923226389,-23.85977744444186,613.3841942057206
5011.87233627273,-23.16468469338834,608.3776593283364
5248.074602497728,-22.49714478422136,603.6118773884757
5495.408738576254,-21.84192914265255,599.2139422928855
5754.399373371578,-21.19029751794197,594.7840121890642
6025.59586074358,-20.54914013852052,590.6160324798717
6309.573444801937,-19.91791411668472,586.6018673936551
6606.934480075965,-19.29853209893721,582.8829481203878
6918.30970918937,-18.70574443672409,579.4760610214136
7244.359600749906,-18.11629465692792,576.0412318420363
7585.775750291844,-17.56309721919818,572.7060608586639
7943.282347242821,-16.97999810749499,569.5549985345776
8317.637711026719,-16.44478172199555,566.584409847128
8709.635899560815,-15.91172758707753,563.8697626069647
9120.108393559105,-15.39218269948427,561.3671406504077
9549.925860214369,-14.89371503860906,558.8531147862473
10000,-14.40979859125516,556.3947643586858
10471.28548050901,-13.93028189859155,554.0782816172062
10964.78196143186,-13.47851656611727,551.8265810639938
11481.53621496883,-13.02472285851535,549.7861098005739
12022.64434617414,-12.59434663611403,547.8426239237052
12589.25411794168,-12.16467557288693,546.0072485665083
13182.56738556407,-11.74855359387467,544.1029380661766
13803.84264602886,-11.36670091737997,542.2681581546002
14454.39770745929,-10.97394783302395,540.5948203315827
15135.61248436209,-10.60114420324346,539.0049751285089
15848.93192461115,-10.23908801016579,537.5646995101642
16595.86907437562,-9.878036275331487,536.0898801587226
17378.00828749376,-9.553020847214592,534.6659254431291
18197.00858609984,-9.213356525036748,533.2795748697993
19054.60717963249,-8.894740612377076,531.9395653578396
19952.62314968881,-8.584290954784226,530.7032716058189
20892.96130854039,-8.286748347412194,529.6362368270796
21877.61623949554,-7.991610465000466,528.5209928721964
22908.67652767775,-7.708197530207173,527.4023969193992
23988.32919019491,-7.421807156998677,526.2300553220348
25118.86431509582,-7.16063793956975,525.2067681324694
26302.67991895384,-6.896882126184578,524.2744728820466
27542.28703338168,-6.649920245517338,523.2936656424414
28840.31503126608,-6.396223833384814,522.4874557168088
30199.51720402019,-6.178667285885921,521.6547067715953
31622.77660168381,-5.926257565590986,520.8297224139862
33113.11214825913,-5.717627263088288,520.0523398284314
34673.68504525317,-5.484469096477124,519.2714619954869
