#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415B99FD9
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.008e+06 Ω
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.24066 V
#Offset: 0.000240203 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.25098 V
#Offset: 0.000230232 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
1000.000000000001,-49.86442986666007,1010.686602598969
1047.128548050901,-49.1384329033962,974.2143833760962
1096.478196143186,-48.51972161031873,945.2076619472037
1148.153621496884,-47.95672108012396,920.8143582836741
1202.264434617413,-47.46567558112882,900.3516202157294
1258.925411794169,-47.00262202107366,881.9195131221052
1318.256738556409,-46.52307295608158,863.5298518634844
1380.384264602885,-45.99786185636449,844.9742473500614
1445.43977074593,-45.47706307534168,827.6412839667439
1513.56124843621,-44.96503367515762,811.7159030029023
1584.893192461114,-44.44147280909309,796.4305173078045
1659.586907437563,-43.91556832193443,781.3972852614605
1737.800828749376,-43.34285448663391,766.2244797955649
1819.700858609984,-42.76820245398711,751.4249065742417
1905.46071796325,-42.18675237711805,737.8036941389344
1995.262314968881,-41.61032833987064,725.0054903215624
2089.296130854041,-41.01252525806616,712.2815743806809
2187.761623949554,-40.38837693893441,699.3677316312235
2290.867652767774,-39.74438589913917,686.6424469578412
2398.832919019493,-39.08874531749149,674.5536321642851
2511.886431509582,-38.45174627571657,663.5785324003257
2630.267991895385,-37.80250093764631,653.29699109606
2754.228703338169,-37.12986410769889,642.7594843497494
2884.031503126609,-36.43588313229581,632.2865673581515
3019.951720402019,-35.73726494923497,621.8846452374418
3162.277660168382,-35.03936413257978,612.5939107380257
3311.311214825914,-34.33673723209984,603.6931382421002
3467.368504525317,-33.63618571372047,595.4328864900677
3630.780547701017,-32.92044958996705,587.0962587659316
3801.893963205617,-32.18273387922252,578.6033451320039
3981.071705534973,-31.45881289510682,570.7826898319491
4168.693834703359,-30.73584691774965,563.5129607044968
4365.158322401665,-30.02965810537528,556.6899848275793
4570.881896148752,-29.30951402251645,550.1826077391411
4786.300923226389,-28.56827634263964,543.6306688592208
5011.87233627273,-27.85522944277469,537.2292347519691
5248.074602497728,-27.13070992193201,531.1888511928884
5495.408738576254,-26.42695287062877,525.6939782592843
5754.399373371578,-25.73812183835537,520.5806288940029
6025.59586074358,-25.05881145586525,515.7272781306306
6309.573444801937,-24.3613419889387,510.6584711678238
6606.934480075965,-23.68527417063079,505.9240346019503
6918.30970918937,-23.02528648349969,501.2375205910847
7244.359600749906,-22.3737365029303,497.2137159729455
7585.775750291844,-21.7287606629304,493.5149637339634
7943.282347242821,-21.11616699842092,489.6297724242186
8317.637711026719,-20.49332676156718,485.9402964084983
8709.635899560815,-19.8925818908142,482.3254877885642
9120.108393559105,-19.29822376088542,478.8434905042683
9549.925860214369,-18.70656588091521,475.6220768601153
10000,-18.15052125238003,472.7980471215845
10471.28548050901,-17.60389055712262,470.0238193576707
10964.78196143186,-17.06984138812058,467.425801264871
11481.53621496883,-16.5347492494836,464.6541080820302
12022.64434617414,-16.03778991824961,462.1058743797962
12589.25411794168,-15.53540556083255,459.5027694869396
13182.56738556407,-15.04255523004857,457.1772329538156
13803.84264602886,-14.56892654598549,455.1353033564465
14454.39770745929,-14.11793033223999,453.0746262007469
15135.61248436209,-13.66963120430755,451.1688450862998
15848.93192461115,-13.23496963449416,449.1910419683227
16595.86907437562,-12.80916607741858,447.1420408607504
17378.00828749376,-12.39728037426939,445.2955803864891
18197.00858609984,-11.98685581380246,443.5487952528333
