#Digilent WaveForms Impedance Analyzer - Phase
#Device Name: Discovery3
#Serial Number: SN:210415B99FD9
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.008e+06 Ω
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.24066 V
#Offset: 0.000240203 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.25098 V
#Offset: 0.000230232 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg)
1000.000000000001,8.023759280382873
1047.128548050901,-13.73296710594233
1096.478196143186,4.777042451617275
1148.153621496884,-8.74582009437999
1202.264434617413,6.080233688863967
1258.925411794169,1.784026992561865
1318.256738556409,-2.456531589853623
1380.384264602885,-0.2561085331923282
1445.43977074593,-6.233844488835493
1513.56124843621,-2.583736071613643
1584.893192461114,-3.211050662042795
1659.586907437563,0.7523150365812363
1737.800828749376,-6.174279053220254
1819.700858609984,-6.102189405505936
1905.46071796325,2.669117817478619
1995.262314968881,-1.983789482421223
2089.296130854041,-14.75462559571246
2187.761623949554,-6.010821291572738
2290.867652767774,-9.090772633861379
2398.832919019493,-0.5774363796862667
2511.886431509582,-21.29424836887501
2630.267991895385,-5.639241399003814
2754.228703338169,-4.253874317759907
2884.031503126609,-7.339103335015907
3019.951720402019,3.971300884763279
3162.277660168382,-8.919928584490622
3311.311214825914,-8.737679346727228
3467.368504525317,-10.9962554040638
3630.780547701017,0.8977957378759192
3801.893963205617,-1.934594843387447
3981.071705534973,-13.26545420556634
4168.693834703359,-13.6549762444501
4365.158322401665,-10.46461682637551
4570.881896148752,-2.477186127835201
4786.300923226389,-1.431064154701572
5011.87233627273,-10.46608315370335
5248.074602497728,2.520354997388127
5495.408738576254,8.339624777828929
5754.399373371578,-9.470611997289268
6025.59586074358,-5.37666093041148
6309.573444801937,-10.67861348575638
6606.934480075965,-2.407914836028586
6918.30970918937,-15.97485718356381
7244.359600749906,3.289845151004502
7585.775750291844,-2.858371150145105
7943.282347242821,-19.05358112140481
8317.637711026719,-17.23470218905894
8709.635899560815,-7.15999414827886
9120.108393559105,-4.882682539510386
9549.925860214369,-7.011683995539969
10000,-7.79342013596408
10471.28548050901,-0.7721498494595812
10964.78196143186,-9.049439119147989
11481.53621496883,7.830400125287649
12022.64434617414,-5.513782337702398
12589.25411794168,-3.23175984132766
13182.56738556407,-1.15061608516041
13803.84264602886,-5.024019601258039
14454.39770745929,-7.350349309743473
15135.61248436209,-11.40037030552101
15848.93192461115,-6.265358105042855
16595.86907437562,-1.832533641748741
17378.00828749376,-8.009636479054466
18197.00858609984,-6.110051629716439
19054.60717963249,-10.23815259189561
19952.62314968881,-10.0607923759843
20892.96130854039,-18.420371860252
21877.61623949554,-4.169542356760787
22908.67652767775,-9.276116500664582
23988.32919019491,7.458217577669278
25118.86431509582,6.460964170683085
26302.67991895384,-7.309057400446537
27542.28703338168,4.298721346284831
28840.31503126608,-21.25560770285904
30199.51720402019,-9.351289810595185
31622.77660168381,-7.485361931477247
33113.11214825913,1.523276690775999
34673.68504525317,9.131983103456733
36307.80547701016,-7.79166415081675
38018.93963205612,-5.403685673571815
39810.71705534973,-20.6999248093528
41686.93834703357,-9.392174308487627
43651.58322401661,-7.225624489050108
45708.81896148752,-3.411854804317929
47863.00923226388,0.7939092226259448
50118.72336272725,-21.05593351451754
52480.74602497728,-17.7331609022094
54954.08738576245,-11.5301864449479
57543.99373371572,-20.68592807929105
60255.95860743581,-13.48662702068496
63095.73444801933,-16.40157196890971
66069.34480075965,-18.51233890060834
69183.09709189367,-16.4359009899481
72443.59600749903,-27.63441669590923
75857.75750291844,-9.596515847381147
79432.82347242818,-12.30812123135888
83176.37711026713,-19.35282731565243
87096.35899560805,-24.27188360514517
91201.08393559101,-9.654313664975835
95499.25860214364,-18.6958492334832
100000,-13.03375636212087
104712.85480509,-7.964183527040347
109647.8196143186,-38.00034358426064
114815.3621496883,-31.26937956353079
120226.4434617413,0.3289950873436607
125892.5411794167,-17.7138838154791
131825.6738556407,2.299405520678519
138038.4264602886,-14.98000432509891
144543.9770745928,-14.42264484826845
151356.1248436209,-12.72476579488734
158489.3192461114,-10.47178691251762
165958.6907437561,-17.92584875950651
173780.0828749376,-19.05382244122294
181970.0858609984,-31.77015086622082
