File_Name,Angle,Length,Theta_C,Uncertainty,Theta_Left,Theta_Right,Theta_E,Radius,Cricle_StDev,Ellipse_StDev,e,Points,Volume
1,control_1.JPG,-179.666888756,688.011627809,107.300000000,0.200000000,110,109.500000000,109.800000000,360.280000000,0.880683736,0.000849944,0.960000000,103,140294018.030000000
#1,control_2.JPG,179.068443402,738.097554528,100.100000000,0.200000000,103.100000000,100.200000000,101.600000000,374.940000000,1.178592198,0.003445691,0.960000000,103,139249690.270000000
1,control_2.JPG,-178.835611960,738.152423284,106.100000000,0.400000000,112.900000000,109.800000000,111.400000000,384.180000000,2.073594780,0.002150992,0.910000000,103,166873673.970000000
#1,control_3.JPG,179.062090123,733.098219886,90.500000000,0.600000000,102.200000000,91.900000000,97,366.170000000,2.559615018,0.003205287,0.860000000,103,104094082.180000000
1,control_3.JPG,180,735,92.500000000,0.400000000,101.300000000,93.900000000,97.600000000,367.880000000,1.945957867,0.001691306,0.890000000,103,111069966.550000000
1,day0_1.JPG,180,925,89,0.200000000,92.300000000,90.100000000,91.200000000,462.080000000,1.221002350,0.001132167,0.950000000,103,201277777.070000000
1,day0_2.JPG,-179.528163070,850.028823041,97.900000000,0.500000000,107.700000000,106.300000000,107,428.710000000,2.564097195,0.000514176,0.860000000,103,198879175.840000000
1,day0_3.JPG,-179.209763498,870.082754685,96.200000000,0.300000000,101.100000000,102.900000000,102,437.640000000,1.676882801,0.001433452,0.900000000,103,203733016.100000000
1,day3_1.JPG,-179.248623017,915.078685141,88.200000000,0.200000000,93.500000000,90.200000000,91.800000000,457.810000000,1.215398185,0.004280158,0.920000000,103,191744518.670000000
1,day3_2.JPG,179.415369479,882.045917172,96.900000000,0.400000000,105.400000000,104.300000000,104.800000000,444.350000000,2.115048831,0.001753336,0.870000000,103,216781517.240000000
1,day3_3.JPG,-179.599336744,858.020978765,94.400000000,0.100000000,92.800000000,91.600000000,92.200000000,430.230000000,0.670469982,0.001326605,0.960000000,103,185944094.470000000
1,day6_1.JPG,178.512132471,924.311635759,88.900000000,0.300000000,95.500000000,93.400000000,94.400000000,462.330000000,1.543798233,0.003768952,0.900000000,103,200930631.540000000
1,day6_2.JPG,178.768022597,837.193526014,88.400000000,0.300000000,95.900000000,90.600000000,93.200000000,418.830000000,1.747164244,0.003053837,0.900000000,103,147268690.150000000
1,day6_3.JPG,-178.889755657,774.145335192,98.900000000,0.600000000,105.600000000,111,108.300000000,391.910000000,2.957627064,0.002329966,0.850000000,103,155045259.320000000
1,day9_1.JPG,179.097778838,762.094482331,102,0.500000000,108.800000000,113.300000000,111,389.700000000,2.812670547,0.001301895,0.860000000,103,162039748.010000000
1,day9_2.JPG,-179.068443402,738.097554528,97.100000000,0.400000000,104,104.200000000,104.100000000,371.970000000,1.734142441,0.002836169,0.890000000,103,127682959.390000000
#1,day9_3a.JPG,180,447,106.400000000,0.300000000,110.300000000,112,111.200000000,233.070000000,0.938848291,0.001760850,0.930000000,103,37478412.320000000
#1,day9_3b.JPG,179.690296100,555.008108049,106,0.300000000,113.200000000,111.400000000,112.300000000,288.700000000,1.332298478,0.006912135,0.900000000,103,70686395.240000000
#1,day9_3c.JPG,-178.939088310,648.111101587,103.400000000,0.400000000,111.300000000,109.600000000,110.400000000,333.130000000,1.651462316,0.004885466,0.890000000,103,103797277
#1,day9_3d.JPG,180,789,97.400000000,0.500000000,108.600000000,107.200000000,107.900000000,397.880000000,2.540285161,0.003507371,0.840000000,103,157142693.140000000
1,day9_3e.JPG,-179.781314881,786.005725170,102.400000000,0.600000000,114.200000000,111.800000000,113,402.560000000,3.198526732,0.003355599,0.840000000,103,179997298.890000000
#1,day9_3f.JPG,179.716359844,808.009900929,106,0.400000000,113.400000000,112.900000000,113.200000000,419.820000000,2.242769761,0.001828732,0.890000000,103,217303532.200000000
#1,day9_3g.JPG,179.823705850,975.004615374,93.500000000,0.400000000,103.200000000,101.700000000,102.400000000,488.520000000,2.509456859,0.003371405,0.850000000,103,266266452.710000000


#180,-,theta,=,the,contact,angle...
