Target PDB,URL,Cluster ID,Cluster Ranking,HADDOCK score,Cluster size,RMSD from the overall lowest-energy structure,Van der Waals energy,Electrostatic energy,Desolvation energy,Restraints violation energy,Buried Surface Area,Z-Score,HADDOCK Result PDB Filename
myosin_binder_2fxo_1_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346996-myosin_binder_2fxo_1_hotspot_0,9,0,-28.2 +/- 13.0,7,10.2 +/- 0.1,-31.5 +/- 6.6,-442.1 +/- 81.2,19.9 +/- 3.5,718.4 +/- 80.5,1611.1 +/- 58.4,-1.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_1_hotspot_0_cluster0.pdb
myosin_binder_2fxo_1_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346996-myosin_binder_2fxo_1_hotspot_0,11,1,-20.2 +/- 8.6,6,8.4 +/- 0.7,-42.3 +/- 4.5,-353.8 +/- 44.9,13.1 +/- 2.5,797.0 +/- 121.9,1714.1 +/- 120.0,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_1_hotspot_0_cluster1.pdb
myosin_binder_2fxo_1_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346996-myosin_binder_2fxo_1_hotspot_0,3,2,-19.3 +/- 7.1,16,15.3 +/- 0.1,-41.8 +/- 9.4,-336.1 +/- 42.8,12.8 +/- 3.0,769.4 +/- 102.3,1871.7 +/- 69.5,-0.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_1_hotspot_0_cluster2.pdb
myosin_binder_2fxo_1_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346996-myosin_binder_2fxo_1_hotspot_0,10,3,-18.9 +/- 8.7,7,14.1 +/- 0.5,-48.2 +/- 6.8,-337.4 +/- 32.3,11.6 +/- 4.8,851.9 +/- 50.9,1859.5 +/- 54.9,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_1_hotspot_0_cluster3.pdb
myosin_binder_2fxo_1_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346996-myosin_binder_2fxo_1_hotspot_0,17,4,-18.9 +/- 16.4,4,1.6 +/- 1.0,-39.9 +/- 7.1,-355.7 +/- 61.3,12.7 +/- 2.4,794.0 +/- 105.7,1682.3 +/- 136.8,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_1_hotspot_0_cluster4.pdb
myosin_binder_2fxo_1_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346996-myosin_binder_2fxo_1_hotspot_0,1,5,-16.5 +/- 3.8,24,8.0 +/- 0.5,-50.3 +/- 3.0,-227.4 +/- 45.1,5.5 +/- 5.0,738.6 +/- 63.1,1726.5 +/- 135.0,-0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxo_1_hotspot_0_cluster5.pdb
myosin_binder_2fxm_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346995-myosin_binder_2fxm_hotspot_0,1,0,-30.0 +/- 1.1,48,16.0 +/- 0.1,-56.6 +/- 6.0,-245.2 +/- 12.3,11.5 +/- 1.6,641.0 +/- 50.4,1656.4 +/- 57.2,-1.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxm_hotspot_0_cluster0.pdb
myosin_binder_2fxm_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346995-myosin_binder_2fxm_hotspot_0,4,1,-28.9 +/- 10.0,10,1.0 +/- 0.7,-43.3 +/- 4.6,-339.2 +/- 55.5,10.0 +/- 1.5,722.0 +/- 63.7,1782.7 +/- 51.9,-1.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxm_hotspot_0_cluster1.pdb
myosin_binder_2fxm_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346995-myosin_binder_2fxm_hotspot_0,6,2,-19.2 +/- 11.0,7,15.7 +/- 0.0,-47.2 +/- 4.2,-287.8 +/- 62.1,9.3 +/- 3.5,762.0 +/- 71.0,1736.6 +/- 113.0,-0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxm_hotspot_0_cluster2.pdb
myosin_binder_2fxm_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346995-myosin_binder_2fxm_hotspot_0,9,3,-17.9 +/- 11.2,4,16.3 +/- 0.2,-40.0 +/- 4.3,-214.9 +/- 69.9,5.4 +/- 2.9,596.3 +/- 33.1,1552.3 +/- 117.3,-0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxm_hotspot_0_cluster3.pdb
myosin_binder_2fxm_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346995-myosin_binder_2fxm_hotspot_0,5,4,-15.2 +/- 7.3,10,16.0 +/- 0.2,-29.3 +/- 5.8,-309.7 +/- 66.5,7.2 +/- 3.5,688.7 +/- 24.1,1594.0 +/- 32.2,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxm_hotspot_0_cluster4.pdb
myosin_binder_2fxm_hotspot_0,https://wenmr.science.uu.nl/haddock2.4/result/6886575225/346995-myosin_binder_2fxm_hotspot_0,11,5,-13.8 +/- 8.3,4,2.7 +/- 0.4,-33.5 +/- 4.5,-345.4 +/- 25.8,17.0 +/- 2.4,718.7 +/- 66.6,1699.1 +/- 41.9,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_design_scratch/pdb_files/HADDOCK_results/myosin_binder_2fxm_hotspot_0_cluster5.pdb
