Target PDB,URL,Cluster ID,Cluster Ranking,HADDOCK score,Cluster size,RMSD from the overall lowest-energy structure,Van der Waals energy,Electrostatic energy,Desolvation energy,Restraints violation energy,Buried Surface Area,Z-Score,HADDOCK Result PDB Filename
MyoHead_0_A102T_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385816-MyoHead_0_A102T_None,3,0,-81.6 +/- 2.5,30,8.5 +/- 0.1,-75.5 +/- 3.9,-263.1 +/- 49.7,18.6 +/- 3.9,279.6 +/- 52.8,2035.8 +/- 82.8,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_None_cluster0.pdb
MyoHead_0_A102T_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385816-MyoHead_0_A102T_None,9,1,-79.8 +/- 13.5,4,0.6 +/- 0.3,-83.2 +/- 1.8,-248.8 +/- 25.2,16.8 +/- 3.7,362.8 +/- 57.7,2118.2 +/- 51.1,-0.8,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_None_cluster1.pdb
MyoHead_0_A102T_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385816-MyoHead_0_A102T_None,2,2,-77.8 +/- 2.9,35,4.7 +/- 0.4,-69.9 +/- 7.8,-310.7 +/- 20.1,16.7 +/- 2.8,375.4 +/- 47.2,1913.7 +/- 59.6,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_None_cluster2.pdb
MyoHead_0_A102T_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385816-MyoHead_0_A102T_None,1,3,-76.0 +/- 5.3,59,8.1 +/- 0.0,-81.2 +/- 3.7,-206.5 +/- 25.5,17.0 +/- 2.4,295.2 +/- 65.8,2172.2 +/- 61.4,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_None_cluster3.pdb
MyoHead_0_A102T_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385816-MyoHead_0_A102T_None,4,4,-75.5 +/- 6.9,10,8.3 +/- 0.1,-87.5 +/- 3.7,-203.1 +/- 51.0,18.0 +/- 3.7,346.1 +/- 28.6,2082.3 +/- 120.7,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_None_cluster4.pdb
MyoHead_0_A102T_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385816-MyoHead_0_A102T_None,6,5,-72.9 +/- 10.3,6,7.4 +/- 0.1,-71.8 +/- 2.9,-281.7 +/- 27.8,17.1 +/- 3.2,381.9 +/- 67.2,1867.5 +/- 41.1,-0.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102T_None_cluster5.pdb
MyoHead_0_A102R_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385817-MyoHead_0_A102R_None,1,0,-103.2 +/- 3.7,108,0.4 +/- 0.3,-89.0 +/- 6.0,-276.5 +/- 38.4,16.1 +/- 8.7,249.7 +/- 54.9,2177.4 +/- 99.2,-1.0,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102R_None_cluster0.pdb
MyoHead_0_A102R_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385817-MyoHead_0_A102R_None,2,1,-101.9 +/- 3.2,22,3.9 +/- 0.1,-110.6 +/- 5.8,-236.4 +/- 28.8,27.5 +/- 3.9,284.2 +/- 24.1,2266.6 +/- 57.3,-0.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102R_None_cluster1.pdb
MyoHead_0_A102R_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385817-MyoHead_0_A102R_None,3,2,-93.3 +/- 4.1,10,3.7 +/- 0.1,-85.5 +/- 2.8,-346.9 +/- 33.8,21.4 +/- 1.7,402.8 +/- 58.2,2018.6 +/- 35.6,-0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102R_None_cluster2.pdb
MyoHead_0_A102R_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385817-MyoHead_0_A102R_None,5,3,-89.1 +/- 7.5,7,7.5 +/- 0.1,-86.9 +/- 8.6,-228.1 +/- 27.8,11.5 +/- 4.5,318.6 +/- 30.8,2063.7 +/- 114.8,-0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102R_None_cluster3.pdb
MyoHead_0_A102R_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385817-MyoHead_0_A102R_None,4,4,-77.8 +/- 4.8,9,7.9 +/- 0.1,-74.5 +/- 6.2,-262.6 +/- 13.7,13.5 +/- 4.3,356.9 +/- 43.3,1969.4 +/- 135.4,0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102R_None_cluster4.pdb
MyoHead_0_A102R_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385817-MyoHead_0_A102R_None,6,5,-53.0 +/- 21.3,4,7.1 +/- 0.1,-72.5 +/- 11.2,-190.1 +/- 29.1,13.9 +/- 3.1,435.8 +/- 49.8,1981.9 +/- 67.2,1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102R_None_cluster5.pdb
MyoHead_0_A102I_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385818-MyoHead_0_A102I_None,1,0,-95.0 +/- 2.4,90,4.0 +/- 0.2,-88.1 +/- 6.8,-265.6 +/- 27.5,17.1 +/- 4.3,291.0 +/- 30.6,2145.2 +/- 99.6,-1.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102I_None_cluster0.pdb
MyoHead_0_A102I_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385818-MyoHead_0_A102I_None,4,1,-78.2 +/- 1.0,6,4.9 +/- 0.4,-77.6 +/- 2.0,-234.4 +/- 21.8,12.4 +/- 2.6,339.6 +/- 14.8,2061.0 +/- 72.1,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102I_None_cluster1.pdb
MyoHead_0_A102I_None,https://rascar.science.uu.nl/haddock2.4/result/6886575225/385818-MyoHead_0_A102I_None,2,2,-69.9 +/- 1.8,55,5.7 +/- 0.1,-83.2 +/- 7.0,-175.7 +/- 51.2,13.3 +/- 2.5,351.5 +/- 48.5,1915.7 +/- 40.7,-0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_0_A102I_None_cluster2.pdb
