Target PDB,URL,Cluster ID,Cluster Ranking,HADDOCK score,Cluster size,RMSD from the overall lowest-energy structure,Van der Waals energy,Electrostatic energy,Desolvation energy,Restraints violation energy,Buried Surface Area,Z-Score,HADDOCK Result PDB Filename
MyoHead_60_L107T_S121E,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386489-MyoHead_60_L107T_S121E,3,0,-95.5 +/- 7.1,22,2.7 +/- 0.7,-77.3 +/- 5.9,-206.9 +/- 32.0,4.5 +/- 4.3,187.1 +/- 47.4,2062.2 +/- 91.3,-1.9,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_L107T_S121E_cluster0.pdb
MyoHead_60_L107T_S121E,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386489-MyoHead_60_L107T_S121E,5,1,-89.2 +/- 1.2,21,6.6 +/- 0.1,-86.8 +/- 6.0,-157.9 +/- 29.2,14.4 +/- 1.7,148.5 +/- 11.4,1979.4 +/- 50.3,-1.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_L107T_S121E_cluster1.pdb
MyoHead_60_L107T_S121E,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386489-MyoHead_60_L107T_S121E,2,2,-85.2 +/- 6.0,22,4.6 +/- 0.2,-69.1 +/- 5.8,-238.2 +/- 43.0,15.7 +/- 5.3,158.3 +/- 43.3,1970.6 +/- 34.6,-0.7,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_L107T_S121E_cluster2.pdb
MyoHead_60_L107T_S121E,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386489-MyoHead_60_L107T_S121E,12,3,-82.3 +/- 8.9,4,6.9 +/- 0.1,-83.8 +/- 2.7,-133.1 +/- 23.7,11.2 +/- 3.3,169.4 +/- 26.8,2166.7 +/- 41.9,-0.4,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_L107T_S121E_cluster3.pdb
MyoHead_60_L107T_S121E,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386489-MyoHead_60_L107T_S121E,7,4,-77.3 +/- 3.6,14,8.9 +/- 0.2,-73.8 +/- 3.1,-172.5 +/- 28.1,8.1 +/- 5.1,228.0 +/- 60.4,2001.6 +/- 16.5,0.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_L107T_S121E_cluster4.pdb
MyoHead_60_L107T_S121E,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386489-MyoHead_60_L107T_S121E,6,5,-77.0 +/- 4.6,20,8.5 +/- 0.0,-79.2 +/- 3.8,-179.1 +/- 12.6,11.8 +/- 2.5,262.6 +/- 35.6,1839.4 +/- 70.0,0.2,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_L107T_S121E_cluster5.pdb
MyoHead_60_T116G_G99Q,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386490-MyoHead_60_T116G_G99Q,5,0,-97.3 +/- 7.9,14,0.6 +/- 0.4,-87.2 +/- 6.7,-228.3 +/- 57.7,17.0 +/- 1.2,186.2 +/- 47.3,2199.9 +/- 140.1,-1.6,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_T116G_G99Q_cluster0.pdb
MyoHead_60_T116G_G99Q,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386490-MyoHead_60_T116G_G99Q,6,1,-94.1 +/- 5.4,9,6.1 +/- 0.1,-84.5 +/- 4.8,-182.8 +/- 53.9,8.6 +/- 2.7,183.1 +/- 31.0,2211.1 +/- 58.2,-1.3,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_T116G_G99Q_cluster1.pdb
MyoHead_60_T116G_G99Q,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386490-MyoHead_60_T116G_G99Q,1,2,-91.7 +/- 4.9,45,8.9 +/- 0.0,-85.5 +/- 1.6,-214.6 +/- 19.0,18.9 +/- 1.3,178.4 +/- 33.2,2037.9 +/- 63.0,-1.1,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_T116G_G99Q_cluster2.pdb
MyoHead_60_T116G_G99Q,https://rascar.science.uu.nl/haddock2.4/result/6886575225/386490-MyoHead_60_T116G_G99Q,3,3,-82.6 +/- 5.0,27,9.3 +/- 0.3,-83.7 +/- 3.2,-144.2 +/- 21.0,15.2 +/- 2.4,147.9 +/- 26.8,2007.5 +/- 90.9,-0.5,/Users/yitongtseo/Documents/GitHub/ethical_necromancy/nanobody_llm_refinement/Haddock_results/MyoHead_60_T116G_G99Q_cluster3.pdb
